Pipeline_index,Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,Affinity_runtime_min,KL_divergence
pipeline_353,"(25, 32, 0.5, 1.0, 0.25)",25,32,0.5,1.0,1.0,96.73873115380606,14.055973319212596,3.3041978231633404
pipeline_354,"(25, 32, 0.5, 1.0, 0.5)",25,32,0.5,1.0,1.0,33.01649179061254,14.055973319212596,3.3272846272522845
pipeline_355,"(25, 32, 0.5, 1.0, 0.75)",25,32,0.5,1.0,1.0,17.21926010052363,14.055973319212596,3.3141877546685876
pipeline_356,"(25, 32, 0.5, 1.0, 1.0)",25,32,0.5,1.0,1.0,11.465490885575612,14.055973319212596,3.35055843877511
pipeline_357,"(45, 4, 0.1, 0.8, 0.25)",45,4,0.1,0.8,0.8,54.562684468428294,10.437137993176778,3.064018247247043
pipeline_358,"(45, 4, 0.1, 0.8, 0.5)",45,4,0.1,0.8,0.8,19.114373620351156,10.437137993176778,3.064842146643855
pipeline_359,"(45, 4, 0.1, 0.8, 0.75)",45,4,0.1,0.8,0.8,10.740218424797058,10.437137993176778,3.069994787992293
pipeline_360,"(45, 4, 0.1, 0.8, 1.0)",45,4,0.1,0.8,0.8,7.510308889547984,10.437137993176778,3.0884519733393727
pipeline_361,"(45, 4, 0.1, 0.9, 0.25)",45,4,0.1,0.9,0.9,54.57688108285268,10.437137993176778,3.064018247247043
pipeline_362,"(45, 4, 0.1, 0.9, 0.5)",45,4,0.1,0.9,0.9,19.058121009667715,10.437137993176778,3.064842146643855
pipeline_363,"(45, 4, 0.1, 0.9, 0.75)",45,4,0.1,0.9,0.9,10.749313509464264,10.437137993176778,3.069994787992293
pipeline_364,"(45, 4, 0.1, 0.9, 1.0)",45,4,0.1,0.9,0.9,7.4964050571123755,10.437137993176778,3.0884519733393727
pipeline_365,"(45, 4, 0.1, 1.0, 0.25)",45,4,0.1,1.0,1.0,54.573854831854504,10.437137993176778,3.064018247247043
pipeline_366,"(45, 4, 0.1, 1.0, 0.5)",45,4,0.1,1.0,1.0,19.075416243076326,10.437137993176778,3.064842146643855
pipeline_367,"(45, 4, 0.1, 1.0, 0.75)",45,4,0.1,1.0,1.0,10.749567608038584,10.437137993176778,3.069994787992293
pipeline_368,"(45, 4, 0.1, 1.0, 1.0)",45,4,0.1,1.0,1.0,7.508017222086589,10.437137993176778,3.0884519733393727
pipeline_369,"(45, 4, 0.3, 0.8, 0.25)",45,4,0.3,0.8,0.8,54.53546781937281,10.437137993176778,3.064018247247043
pipeline_370,"(45, 4, 0.3, 0.8, 0.5)",45,4,0.3,0.8,0.8,19.079226783911388,10.437137993176778,3.064842146643855
pipeline_371,"(45, 4, 0.3, 0.8, 0.75)",45,4,0.3,0.8,0.8,10.779140782356261,10.437137993176778,3.069994787992293
pipeline_372,"(45, 4, 0.3, 0.8, 1.0)",45,4,0.3,0.8,0.8,7.504593495527903,10.437137993176778,3.0884519733393727
pipeline_373,"(45, 4, 0.3, 0.9, 0.25)",45,4,0.3,0.9,0.9,54.56469209988912,10.437137993176778,3.064018247247043
pipeline_374,"(45, 4, 0.3, 0.9, 0.5)",45,4,0.3,0.9,0.9,19.155472163359324,10.437137993176778,3.064842146643855
pipeline_375,"(45, 4, 0.3, 0.9, 0.75)",45,4,0.3,0.9,0.9,10.790233810742697,10.437137993176778,3.069994787992293
pipeline_376,"(45, 4, 0.3, 0.9, 1.0)",45,4,0.3,0.9,0.9,7.505927097797394,10.437137993176778,3.0884519733393727
pipeline_377,"(45, 4, 0.3, 1.0, 0.25)",45,4,0.3,1.0,1.0,54.59458136161168,10.437137993176778,3.064018247247043
pipeline_378,"(45, 4, 0.3, 1.0, 0.5)",45,4,0.3,1.0,1.0,19.05811762412389,10.437137993176778,3.064842146643855
pipeline_379,"(45, 4, 0.3, 1.0, 0.75)",45,4,0.3,1.0,1.0,10.719893602530162,10.437137993176778,3.069994787992293
pipeline_380,"(45, 4, 0.3, 1.0, 1.0)",45,4,0.3,1.0,1.0,7.507568983236949,10.437137993176778,3.0884519733393727
pipeline_381,"(45, 4, 0.5, 0.8, 0.25)",45,4,0.5,0.8,0.8,54.64027929703395,10.437137993176778,3.064018247247043
pipeline_382,"(45, 4, 0.5, 0.8, 0.5)",45,4,0.5,0.8,0.8,19.095616869131725,10.437137993176778,3.064842146643855
pipeline_383,"(45, 4, 0.5, 0.8, 0.75)",45,4,0.5,0.8,0.8,10.734708706537882,10.437137993176778,3.069994787992293
pipeline_384,"(45, 4, 0.5, 0.8, 1.0)",45,4,0.5,0.8,0.8,7.510671230157216,10.437137993176778,3.0884519733393727
pipeline_385,"(45, 4, 0.5, 0.9, 0.25)",45,4,0.5,0.9,0.9,54.58468159834544,10.437137993176778,3.064018247247043
pipeline_386,"(45, 4, 0.5, 0.9, 0.5)",45,4,0.5,0.9,0.9,19.12163831790288,10.437137993176778,3.064842146643855
pipeline_387,"(45, 4, 0.5, 0.9, 0.75)",45,4,0.5,0.9,0.9,10.77000432809194,10.437137993176778,3.069994787992293
pipeline_388,"(45, 4, 0.5, 0.9, 1.0)",45,4,0.5,0.9,0.9,7.533287215232849,10.437137993176778,3.0884519733393727
pipeline_389,"(45, 4, 0.5, 1.0, 0.25)",45,4,0.5,1.0,1.0,54.640359326203665,10.437137993176778,3.064018247247043
pipeline_390,"(45, 4, 0.5, 1.0, 0.5)",45,4,0.5,1.0,1.0,19.086275577545166,10.437137993176778,3.064842146643855
pipeline_391,"(45, 4, 0.5, 1.0, 0.75)",45,4,0.5,1.0,1.0,10.747334277629852,10.437137993176778,3.069994787992293
pipeline_392,"(45, 4, 0.5, 1.0, 1.0)",45,4,0.5,1.0,1.0,7.523474697271983,10.437137993176778,3.0884519733393727
pipeline_393,"(45, 11, 0.1, 0.8, 0.25)",45,11,0.1,0.8,0.8,58.52943150599798,10.437137993176778,3.0757490271982064
pipeline_394,"(45, 11, 0.1, 0.8, 0.5)",45,11,0.1,0.8,0.8,20.482965052127838,10.437137993176778,3.0799464146888127
pipeline_395,"(45, 11, 0.1, 0.8, 0.75)",45,11,0.1,0.8,0.8,11.262286106745401,10.437137993176778,3.0809580363637625
pipeline_396,"(45, 11, 0.1, 0.8, 1.0)",45,11,0.1,0.8,0.8,7.786945501963298,10.829813655217489,3.1018637270722387
pipeline_397,"(45, 11, 0.1, 0.9, 0.25)",45,11,0.1,0.9,0.9,58.520077514648435,10.437137993176778,3.0800330544249093
pipeline_398,"(45, 11, 0.1, 0.9, 0.5)",45,11,0.1,0.9,0.9,20.675857702891033,10.437137993176778,3.0799464146888127
pipeline_399,"(45, 11, 0.1, 0.9, 0.75)",45,11,0.1,0.9,0.9,11.233571950594584,10.437137993176778,3.0809580363637625
pipeline_400,"(45, 11, 0.1, 0.9, 1.0)",45,11,0.1,0.9,0.9,7.8254388252894085,10.829813655217489,3.1018637270722387
pipeline_401,"(45, 11, 0.1, 1.0, 0.25)",45,11,0.1,1.0,1.0,59.14710320234299,10.437137993176778,3.0800330544249093
pipeline_402,"(45, 11, 0.1, 1.0, 0.5)",45,11,0.1,1.0,1.0,20.519642666975656,10.437137993176778,3.0799464146888127
pipeline_403,"(45, 11, 0.1, 1.0, 0.75)",45,11,0.1,1.0,1.0,11.238542211055755,10.437137993176778,3.0809580363637625
pipeline_404,"(45, 11, 0.1, 1.0, 1.0)",45,11,0.1,1.0,1.0,7.74478311141332,10.829813655217489,3.1018637270722387
pipeline_405,"(45, 11, 0.3, 0.8, 0.25)",45,11,0.3,0.8,0.8,58.43018343051275,10.437137993176778,3.0800330544249093
pipeline_406,"(45, 11, 0.3, 0.8, 0.5)",45,11,0.3,0.8,0.8,20.656964898109436,10.437137993176778,3.0799464146888127
pipeline_407,"(45, 11, 0.3, 0.8, 0.75)",45,11,0.3,0.8,0.8,11.560646116733551,10.437137993176778,3.0809580363637625
pipeline_408,"(45, 11, 0.3, 0.8, 1.0)",45,11,0.3,0.8,0.8,7.810865942637125,10.829813655217489,3.1018637270722387
pipeline_409,"(45, 11, 0.3, 0.9, 0.25)",45,11,0.3,0.9,0.9,58.556166315078734,10.437137993176778,3.0800330544249093
pipeline_410,"(45, 11, 0.3, 0.9, 0.5)",45,11,0.3,0.9,0.9,20.33045746088028,10.437137993176778,3.0799464146888127
pipeline_411,"(45, 11, 0.3, 0.9, 0.75)",45,11,0.3,0.9,0.9,11.499794475237529,10.437137993176778,3.0809580363637625
